epoch,train_loss,dev_soft_cross_entropy,dev_accuracy,dev_choice_accuracy,dev_noul_accuracy,dev_score_accuracy,best_epoch,elapsed_seconds
0,,0.9967779462987726,0.5606060606060606,0.6363636363636364,0.5454545454545454,0.5,0,0
1,0.9170920550823212,0.8070838234641335,0.5757575757575758,0.6363636363636364,0.5909090909090909,0.5,1,1.63
2,0.793675465716256,0.7766836953885627,0.6818181818181818,0.6363636363636364,0.8636363636363636,0.5454545454545454,2,3.2
3,0.7829226348135206,0.7496299021171801,0.6818181818181818,0.6363636363636364,0.9090909090909091,0.5,3,4.75
4,0.7292781717247433,0.719875050313545,0.696969696969697,0.6363636363636364,0.9090909090909091,0.5454545454545454,4,6.31
5,0.671598842408922,0.7149510311357903,0.696969696969697,0.6363636363636364,0.8636363636363636,0.5909090909090909,5,7.85
6,0.6617717345555624,0.6664514216509733,0.7121212121212122,0.6363636363636364,0.9545454545454546,0.5454545454545454,6,9.42
7,0.6175687476992607,0.7080972411415793,0.7424242424242424,0.7272727272727273,0.8636363636363636,0.6363636363636364,6,10.91
8,0.5790428701374266,0.7009844960588397,0.7272727272727273,0.6818181818181818,0.8636363636363636,0.6363636363636364,6,12.41
