typesafe-mario 可视化服务
  绑定地址   127.0.0.1:8770
  本机访问   http://127.0.0.1:8770/
  模拟器     真实 gym_super_mario_bros + 内置 NES ROM（8 帧/决策）
  模型应答   本地 pilot 替身（非真实 TypeSafe API），模拟往返 60ms
  画面速率   30 帧/秒（网页上可调）
  按 Ctrl+C 结束
#0026 x=0479 action=right_run_jump  confidence=0.88 latency=66ms
#0027 x=0502 action=right_run_jump  confidence=0.88 latency=64ms
#0028 x=0526 action=right_run_jump  confidence=0.88 latency=63ms
#0029 x=0550 action=right_run_jump  confidence=0.88 latency=66ms
#0030 x=0574 action=right_run_jump  confidence=0.88 latency=63ms
#0031 x=0598 action=right_run_jump  confidence=0.88 latency=65ms
#0032 x=0622 action=right_run_jump  confidence=0.88 latency=66ms
#0033 x=0646 action=right_run_jump  confidence=0.88 latency=65ms
#0034 x=0670 action=right_run_jump  confidence=0.88 latency=67ms
#0035 x=0694 action=right_run_jump  confidence=0.88 latency=65ms
#0036 x=0718 action=right_run_jump  confidence=0.88 latency=65ms
#0037 x=0742 action=right_run_jump  confidence=0.88 latency=67ms
#0038 x=0766 action=right_run_jump  confidence=0.88 latency=65ms
#0039 x=0790 action=right_run_jump  confidence=0.88 latency=63ms
#0040 x=0814 action=right_run_jump  confidence=0.88 latency=66ms
#0041 x=0838 action=right_run_jump  confidence=0.88 latency=65ms
#0042 x=0862 action=right_run_jump  confidence=0.88 latency=67ms
#0043 x=0886 action=right_run_jump  confidence=0.88 latency=62ms
#0044 x=0910 action=right_run_jump  confidence=0.88 latency=63ms
#0045 x=0934 action=right_run_jump  confidence=0.88 latency=67ms
#0046 x=0958 action=right_run_jump  confidence=0.88 latency=62ms
#0047 x=0982 action=right_run_jump  confidence=0.88 latency=62ms
#0048 x=1006 action=right_run       confidence=0.88 latency=61ms
#0049 x=1030 action=right_run       confidence=0.88 latency=66ms
#0050 x=1054 action=right_run       confidence=0.88 latency=66ms
#0051 x=1078 action=right_run       confidence=0.88 latency=65ms
#0052 x=1102 action=right_run       confidence=0.88 latency=66ms
#0053 x=1122 action=right_run_jump  confidence=0.88 latency=66ms
#0054 x=1123 action=right_run_jump  confidence=0.88 latency=64ms
--- Restarted ---
#0000 x=0040 action=right_run       confidence=0.88 latency=61ms
#0001 x=0041 action=right_run       confidence=0.88 latency=66ms
#0002 x=0049 action=right_run       confidence=0.88 latency=62ms
#0003 x=0065 action=right_run       confidence=0.88 latency=66ms
#0004 x=0087 action=right_run       confidence=0.88 latency=62ms
#0005 x=0111 action=right_run       confidence=0.88 latency=66ms
#0006 x=0135 action=right_run       confidence=0.88 latency=63ms
#0007 x=0159 action=right_run       confidence=0.88 latency=66ms
#0008 x=0183 action=right_run       confidence=0.88 latency=66ms
#0009 x=0207 action=right_run       confidence=0.88 latency=66ms
#0010 x=0231 action=right_run       confidence=0.88 latency=64ms
#0011 x=0255 action=right_run       confidence=0.88 latency=64ms
#0012 x=0279 action=right_run_jump  confidence=0.88 latency=66ms
#0013 x=0303 action=right_run_jump  confidence=0.88 latency=66ms
#0014 x=0327 action=right_run_jump  confidence=0.88 latency=62ms
#0015 x=0351 action=right_run       confidence=0.88 latency=62ms
#0016 x=0375 action=right_run       confidence=0.88 latency=66ms
#0017 x=0399 action=right_run       confidence=0.88 latency=66ms
#0018 x=0423 action=right_run       confidence=0.88 latency=64ms
#0019 x=0434 action=right_run       confidence=0.88 latency=66ms
#0020 x=0434 action=right_run_jump  confidence=0.88 latency=65ms
#0021 x=0434 action=right_run_jump  confidence=0.88 latency=61ms
#0022 x=0435 action=right_run_jump  confidence=0.88 latency=63ms
#0023 x=0440 action=right_run_jump  confidence=0.88 latency=62ms
#0024 x=0449 action=right_run_jump  confidence=0.88 latency=63ms
#0025 x=0462 action=right_run_jump  confidence=0.88 latency=65ms
#0026 x=0479 action=right_run_jump  confidence=0.88 latency=66ms
#0027 x=0502 action=right_run_jump  confidence=0.88 latency=65ms
#0028 x=0526 action=right_run_jump  confidence=0.88 latency=65ms
#0029 x=0550 action=right_run_jump  confidence=0.88 latency=65ms
#0030 x=0574 action=right_run_jump  confidence=0.88 latency=62ms
#0031 x=0598 action=right_run_jump  confidence=0.88 latency=66ms
#0032 x=0622 action=right_run_jump  confidence=0.88 latency=62ms
#0033 x=0646 action=right_run_jump  confidence=0.88 latency=63ms
#0034 x=0670 action=right_run_jump  confidence=0.88 latency=66ms
#0035 x=0694 action=right_run_jump  confidence=0.88 latency=66ms
#0036 x=0718 action=right_run_jump  confidence=0.88 latency=66ms
#0037 x=0742 action=right_run_jump  confidence=0.88 latency=65ms
#0038 x=0766 action=right_run_jump  confidence=0.88 latency=63ms
#0039 x=0790 action=right_run_jump  confidence=0.88 latency=66ms
#0040 x=0814 action=right_run_jump  confidence=0.88 latency=66ms
#0041 x=0838 action=right_run_jump  confidence=0.88 latency=64ms
#0042 x=0862 action=right_run_jump  confidence=0.88 latency=62ms
#0043 x=0886 action=right_run_jump  confidence=0.88 latency=67ms
#0044 x=0910 action=right_run_jump  confidence=0.88 latency=63ms
#0045 x=0934 action=right_run_jump  confidence=0.88 latency=66ms
#0046 x=0958 action=right_run_jump  confidence=0.88 latency=65ms
#0047 x=0982 action=right_run_jump  confidence=0.88 latency=65ms
#0048 x=1006 action=right_run       confidence=0.88 latency=66ms
#0049 x=1030 action=right_run       confidence=0.88 latency=63ms
#0050 x=1054 action=right_run       confidence=0.88 latency=63ms
#0051 x=1078 action=right_run       confidence=0.88 latency=64ms
#0052 x=1102 action=right_run       confidence=0.88 latency=66ms
#0053 x=1122 action=right_run_jump  confidence=0.88 latency=62ms
#0054 x=1123 action=right_run_jump  confidence=0.88 latency=64ms
--- Restarted ---
#0000 x=0040 action=right_run       confidence=0.88 latency=66ms
#0001 x=0041 action=right_run       confidence=0.88 latency=65ms
#0002 x=0049 action=right_run       confidence=0.88 latency=66ms
#0003 x=0065 action=right_run       confidence=0.88 latency=66ms
#0004 x=0087 action=right_run       confidence=0.88 latency=62ms
#0005 x=0111 action=right_run       confidence=0.88 latency=67ms
#0006 x=0135 action=right_run       confidence=0.88 latency=66ms
#0007 x=0159 action=right_run       confidence=0.88 latency=63ms
#0008 x=0183 action=right_run       confidence=0.88 latency=66ms
#0009 x=0207 action=right_run       confidence=0.88 latency=63ms
#0010 x=0231 action=right_run       confidence=0.88 latency=66ms
#0011 x=0255 action=right_run       confidence=0.88 latency=63ms
#0012 x=0279 action=right_run_jump  confidence=0.88 latency=63ms
#0013 x=0303 action=right_run_jump  confidence=0.88 latency=65ms
#0014 x=0327 action=right_run_jump  confidence=0.88 latency=63ms
#0015 x=0351 action=right_run       confidence=0.88 latency=63ms
#0016 x=0375 action=right_run       confidence=0.88 latency=67ms
#0017 x=0399 action=right_run       confidence=0.88 latency=67ms
#0018 x=0423 action=right_run       confidence=0.88 latency=61ms
#0019 x=0434 action=right_run       confidence=0.88 latency=63ms
#0020 x=0434 action=right_run_jump  confidence=0.88 latency=64ms
#0021 x=0434 action=right_run_jump  confidence=0.88 latency=67ms
#0022 x=0435 action=right_run_jump  confidence=0.88 latency=67ms
#0023 x=0440 action=right_run_jump  confidence=0.88 latency=67ms
#0024 x=0449 action=right_run_jump  confidence=0.88 latency=66ms
#0025 x=0462 action=right_run_jump  confidence=0.88 latency=65ms
#0026 x=0479 action=right_run_jump  confidence=0.88 latency=65ms
#0027 x=0502 action=right_run_jump  confidence=0.88 latency=66ms
#0028 x=0526 action=right_run_jump  confidence=0.88 latency=66ms
#0029 x=0550 action=right_run_jump  confidence=0.88 latency=66ms
#0030 x=0574 action=right_run_jump  confidence=0.88 latency=65ms
#0031 x=0598 action=right_run_jump  confidence=0.88 latency=67ms
#0032 x=0622 action=right_run_jump  confidence=0.88 latency=64ms
#0033 x=0646 action=right_run_jump  confidence=0.88 latency=63ms
#0034 x=0670 action=right_run_jump  confidence=0.88 latency=66ms
#0035 x=0694 action=right_run_jump  confidence=0.88 latency=64ms
#0036 x=0718 action=right_run_jump  confidence=0.88 latency=61ms
#0037 x=0742 action=right_run_jump  confidence=0.88 latency=65ms
#0038 x=0766 action=right_run_jump  confidence=0.88 latency=65ms
#0039 x=0790 action=right_run_jump  confidence=0.88 latency=66ms
#0040 x=0814 action=right_run_jump  confidence=0.88 latency=66ms
#0041 x=0838 action=right_run_jump  confidence=0.88 latency=62ms
#0042 x=0862 action=right_run_jump  confidence=0.88 latency=66ms
#0043 x=0886 action=right_run_jump  confidence=0.88 latency=65ms
#0044 x=0910 action=right_run_jump  confidence=0.88 latency=64ms
#0045 x=0934 action=right_run_jump  confidence=0.88 latency=66ms
#0046 x=0958 action=right_run_jump  confidence=0.88 latency=66ms
#0047 x=0982 action=right_run_jump  confidence=0.88 latency=66ms
#0048 x=1006 action=right_run       confidence=0.88 latency=65ms
#0049 x=1030 action=right_run       confidence=0.88 latency=66ms
#0050 x=1054 action=right_run       confidence=0.88 latency=67ms
#0051 x=1078 action=right_run       confidence=0.88 latency=62ms
#0052 x=1102 action=right_run       confidence=0.88 latency=63ms
#0053 x=1122 action=right_run_jump  confidence=0.88 latency=64ms
#0054 x=1123 action=right_run_jump  confidence=0.88 latency=66ms
--- Restarted ---
#0000 x=0040 action=right_run       confidence=0.88 latency=66ms
#0001 x=0041 action=right_run       confidence=0.88 latency=66ms
#0002 x=0049 action=right_run       confidence=0.88 latency=64ms
#0003 x=0065 action=right_run       confidence=0.88 latency=66ms
#0004 x=0087 action=right_run       confidence=0.88 latency=66ms
#0005 x=0111 action=right_run       confidence=0.88 latency=64ms
#0006 x=0135 action=right_run       confidence=0.88 latency=65ms
#0007 x=0159 action=right_run       confidence=0.88 latency=66ms
#0008 x=0183 action=right_run       confidence=0.88 latency=63ms
#0009 x=0207 action=right_run       confidence=0.88 latency=65ms
#0010 x=0231 action=right_run       confidence=0.88 latency=63ms
#0011 x=0255 action=right_run       confidence=0.88 latency=62ms
#0012 x=0279 action=right_run_jump  confidence=0.88 latency=66ms
