epoch,train_loss,train_ce,train_reward,dev_soft_cross_entropy,dev_accuracy,best_epoch,elapsed_seconds
0,,,,1.502819165778812,0.449,0,0
1,0.8402704334388491,0.8402704334388491,,1.0545632024375444,0.797,1,569.67
2,0.7163621204096118,0.7163621204096118,,0.9744238510074329,0.793,2,1098.83
3,0.6379731510226948,0.6379731510226948,,0.9504254654414426,0.82,3,1551.74
4,0.566335831197346,0.566335831197346,,1.0694785351134506,0.81,3,1990.98
