epoch,train_loss,train_ce,train_reward,dev_soft_cross_entropy,dev_accuracy,best_epoch,elapsed_seconds
0,,,,1.502819165778812,0.449,0,0
1,0.16141682995503775,1.8692569263803969,-1.060288243241824,2.366578620122562,0.792,1,920.38
2,0.14709296268086508,1.6569292121187518,-0.8958830548208255,2.2279179798117013,0.81,2,1721.29
3,0.1293019791671622,1.3944275725259747,-0.6387121231433315,2.018930674826292,0.814,3,2381.52
4,0.10568318381629198,1.1028085502440856,-0.37337221366136025,2.4427055551803565,0.797,3,2977.78
